n_trades,win_rate,avg_trade,profit_factor,cagr,sharpe,sortino,max_dd,exposure,worst_trade,worst_year,trades_per_year,market,filter,stop,cost,data_start,data_end,cagr_2000_09,cagr_2010_19,cagr_2020_26
542,0.5498154981549815,0.002515265381592268,1.5054605126927572,0.0499018592738254,0.6405539960481574,1.0420735964928574,-0.17381933355743784,0.11302621957589053,-0.0739182986073627,-0.07723921736933081,20.6795675336885,SPY,A_none,no_stop,1x,2000-01-03,2026-03-20,0.048913100497289363,0.02679224947368697,0.07937929462368665
542,0.5369003690036901,0.002115265381592267,1.4100285279008027,0.041270273640865884,0.5386873698486332,0.8760826901192286,-0.19024640765464984,0.11302621957589053,-0.07431829860736269,-0.08462386364613672,20.6795675336885,SPY,A_none,no_stop,2x,2000-01-03,2026-03-20,0.039654781726330635,0.018085876757811148,0.07282807656853452
542,0.5313653136531366,0.002013682952904551,1.3938799451128743,0.039569985377022165,0.5520718266385002,1.2042197405016768,-0.20441408571892394,0.1088478011072809,-0.02040000000000013,-0.08308380247593417,20.6795675336885,SPY,A_none,stop_2pct,1x,2000-01-03,2026-03-20,0.050573615011148654,0.012762317863967754,0.058379273664358466
542,0.5202952029520295,0.001613682952904551,1.3043464361715758,0.031019464215203296,0.44240772567520065,0.9531614558120701,-0.22084044728667374,0.1088478011072809,-0.020800000000000127,-0.09151500791354816,20.6795675336885,SPY,A_none,stop_2pct,2x,2000-01-03,2026-03-20,0.041301674035290725,0.004169390199028289,0.05194746061134348
542,0.5479704797047971,0.002407078642785043,1.4786826564739013,0.0476073700285633,0.6167534238643342,1.0346599937469596,-0.19970453363080354,0.11302621957589053,-0.05040000000000004,-0.07723921736933081,20.6795675336885,SPY,A_none,stop_5pct,1x,2000-01-03,2026-03-20,0.042914853004061504,0.02679224947368697,0.07937929462368665
542,0.5350553505535055,0.002007078642785042,1.3850935352615692,0.03899376087851958,0.514263473947162,0.8613573037440453,-0.21562789991675224,0.11302621957589053,-0.050800000000000047,-0.08462386364613672,20.6795675336885,SPY,A_none,stop_5pct,2x,2000-01-03,2026-03-20,0.033707164314428884,0.018085876757811148,0.07282807656853452
542,0.5498154981549815,0.002515265381592268,1.5054605126927572,0.0499018592738254,0.6405539960481574,1.0420735964928574,-0.17381933355743784,0.11302621957589053,-0.0739182986073627,-0.07723921736933081,20.6795675336885,SPY,A_none,stop_10pct,1x,2000-01-03,2026-03-20,0.048913100497289363,0.02679224947368697,0.07937929462368665
542,0.5369003690036901,0.002115265381592267,1.4100285279008027,0.041270273640865884,0.5386873698486332,0.8760826901192286,-0.19024640765464984,0.11302621957589053,-0.07431829860736269,-0.08462386364613672,20.6795675336885,SPY,A_none,stop_10pct,2x,2000-01-03,2026-03-20,0.039654781726330635,0.018085876757811148,0.07282807656853452
394,0.5609137055837563,0.003067778179627237,1.6072312104244613,0.04446563057848785,0.6418856911907886,1.0865511414942925,-0.19074037389925236,0.08189700198474877,-0.0739182986073627,-0.12736565404217803,15.032748354747728,SPY,B_ibs_lt_0.5,no_stop,1x,2000-01-03,2026-03-20,0.044046728053812156,0.03326270655922947,0.05613326962020837
394,0.5482233502538071,0.0026677781796272376,1.5100556696779532,0.038219754752227164,0.5581918054394034,0.9434264247679278,-0.19919298423048326,0.08189700198474877,-0.07431829860736269,-0.13263487319609057,15.032748354747728,SPY,B_ibs_lt_0.5,no_stop,2x,2000-01-03,2026-03-20,0.036736249475153304,0.02746086493442057,0.051516293491915555
394,0.5482233502538071,0.0028167801626517363,1.5529050623281153,0.0408145168386822,0.6201227575962911,1.4584301950368657,-0.15795963222227305,0.07886764859500679,-0.02040000000000013,-0.1038032462248849,15.032748354747728,SPY,B_ibs_lt_0.5,stop_2pct,1x,2000-01-03,2026-03-20,0.05171579165008211,0.018303810953230304,0.05324179105367666
394,0.5380710659898477,0.0024167801626517366,1.4579461266906029,0.03458914189320472,0.5320615356637277,1.2339507109471208,-0.1667410570311575,0.07886764859500679,-0.020800000000000127,-0.10920500155844093,15.032748354747728,SPY,B_ibs_lt_0.5,stop_2pct,2x,2000-01-03,2026-03-20,0.044354977346950264,0.012580050768490114,0.04863631876980534
394,0.5583756345177665,0.002940827316865188,1.5763804950697158,0.04251970920467052,0.6195569331127543,1.0859937031114888,-0.2171687102381783,0.08189700198474877,-0.05040000000000004,-0.12736565404217803,15.032748354747728,SPY,B_ibs_lt_0.5,stop_5pct,1x,2000-01-03,2026-03-20,0.0389556213328921,0.03326270655922947,0.05613326962020837
394,0.5456852791878173,0.0025408273168651884,1.4810771153967865,0.036284715957127345,0.5352871863568409,0.9354592670506662,-0.23090664700587982,0.08189700198474877,-0.050800000000000047,-0.13263487319609057,15.032748354747728,SPY,B_ibs_lt_0.5,stop_5pct,2x,2000-01-03,2026-03-20,0.031678823371418696,0.02746086493442057,0.051516293491915555
