n_trades,win_rate,avg_trade,profit_factor,cagr,sharpe,sortino,max_dd,exposure,worst_trade,worst_year,trades_per_year,market,filter,stop,cost,data_start,data_end
64,0.578125,0.005198040062002768,2.6431977283011228,0.08441337823187234,1.2389419228777858,3.3799630610931564,-0.03947490380173235,0.0885989010989011,-0.029762264053235277,0.024337677691044224,16.054945054945055,SPY,A_none,no_stop,1x,2022-09-21,2026-09-16
64,0.5625,0.0047980400620027674,2.4381402870428475,0.07750415737594696,1.143602763648572,3.093510956670283,-0.04025883466523539,0.0885989010989011,-0.030162264053235275,0.021073590586423663,16.054945054945055,SPY,A_none,no_stop,2x,2022-09-21,2026-09-16
64,0.5625,0.003423996145632789,1.9582522065301535,0.054871494383471164,1.0113219455112397,2.28300453065594,-0.030206361415476723,0.08722527472527472,-0.02040000000000002,0.01441201177385465,16.054945054945055,SPY,A_none,stop_2pct,1x,2022-09-21,2026-09-16
64,0.546875,0.0030239961456327885,1.8058981524428468,0.04813925289477772,0.8931767254237517,1.9876418016231205,-0.031667934590362434,0.08722527472527472,-0.020800000000000016,0.00713819742451971,16.054945054945055,SPY,A_none,stop_2pct,2x,2022-09-21,2026-09-16
64,0.578125,0.005198040062002768,2.6431977283011228,0.08441337823187234,1.2389419228777858,3.3799630610931564,-0.03947490380173235,0.0885989010989011,-0.029762264053235277,0.024337677691044224,16.054945054945055,SPY,A_none,stop_5pct,1x,2022-09-21,2026-09-16
64,0.5625,0.0047980400620027674,2.4381402870428475,0.07750415737594696,1.143602763648572,3.093510956670283,-0.04025883466523539,0.0885989010989011,-0.030162264053235275,0.021073590586423663,16.054945054945055,SPY,A_none,stop_5pct,2x,2022-09-21,2026-09-16
64,0.578125,0.005198040062002768,2.6431977283011228,0.08441337823187234,1.2389419228777858,3.3799630610931564,-0.03947490380173235,0.0885989010989011,-0.029762264053235277,0.024337677691044224,16.054945054945055,SPY,A_none,stop_10pct,1x,2022-09-21,2026-09-16
64,0.5625,0.0047980400620027674,2.4381402870428475,0.07750415737594696,1.143602763648572,3.093510956670283,-0.04025883466523539,0.0885989010989011,-0.030162264053235275,0.021073590586423663,16.054945054945055,SPY,A_none,stop_10pct,2x,2022-09-21,2026-09-16
44,0.5681818181818182,0.004784626338516749,2.4307568709853915,0.052853980569684156,1.0790985897977852,2.2248248597874785,-0.03947490380173235,0.06043956043956044,-0.029762264053235277,0.0048009492637968165,11.037774725274724,SPY,B_ibs_lt_0.5,no_stop,1x,2022-09-21,2026-09-16
44,0.5454545454545454,0.00438462633851675,2.2446056064527626,0.048235897710790177,0.9888847663181187,2.030975499354353,-0.04025883466523539,0.06043956043956044,-0.030162264053235275,0.0019922693035450134,11.037774725274724,SPY,B_ibs_lt_0.5,no_stop,2x,2022-09-21,2026-09-16
