timeframe,strategy,params,is_sharpe,is_cagr,is_maxdd,is_trades,oos_sharpe,oos_cagr,oos_maxdd,oos_calmar,oos_trades,oosA_cagr,oosB_cagr,full_sharpe,full_cagr,full_maxdd,n_combos_tested,search_seconds
15m,volatility_breakout_L,"{""atr_period"": 96, ""k"": 2.0, ""ema_span"": 288, ""long_short"": false}",1.3870550797023733,0.8452619777809305,-0.5467173500102489,848,1.374971618013883,0.6600937297784097,-0.6119273318145579,1.0787126108929033,953,0.5232928489455313,0.8930116031882673,1.3799775803820487,0.7640947473272237,-0.6119273318145598,36,19.6
15m,donchian_breakout_L,"{""entry_n"": 672, ""exit_n"": 336, ""long_short"": false}",1.597179569585563,0.9561913568380389,-0.3598943015753243,192,1.389070063653755,0.5985516164752571,-0.40230412900750634,1.4878087827532318,189,0.5342165784118953,0.7003773193370859,1.5114930479264461,0.7899913937443714,-0.4023041290075047,12,6.3
15m,tsmom_L,"{""lookback"": 17280, ""long_short"": false}",1.173785557583989,0.7528985909939521,-0.6960176404608966,82,0.947251464014025,0.43771348134624755,-0.6944887161955562,0.6302672327695457,489,0.2257622566974944,0.8236383674119088,1.0818757833942234,0.6067511377182482,-0.6960176404608966,9,0.2
15m,ema_crossover_L,"{""fast"": 288, ""slow"": 672, ""long_short"": false}",1.5043597496627776,1.0113086279927388,-0.44326869750156983,245,0.8627791037323073,0.33716973459507926,-0.6535385533579459,0.5159140694342633,253,0.12843098231727867,0.7219634472388357,1.2442392585245656,0.6738141063665664,-0.6535385533579487,24,0.7
15m,volatility_breakout_LS,"{""atr_period"": 96, ""k"": 2.0, ""ema_span"": 288, ""long_short"": true}",0.8917261884537347,0.48650575693445974,-0.6254648704981307,848,0.6604107972510729,0.2425154706187862,-0.6084094783726128,0.39860567469703456,954,0.18811997212719755,0.33257896679913457,0.7993359344242206,0.3752247826876782,-0.6254648704981307,36,20.6
15m,donchian_breakout_LS,"{""entry_n"": 2880, ""exit_n"": 720, ""long_short"": true}",1.0399877954440595,0.6080282966043671,-0.5678385030196073,110,0.5963702546734158,0.19294174874836068,-0.6216605418914485,0.3103651201044883,126,0.1939884973636561,0.19167173827327755,0.8544338409292737,0.40331277072351,-0.6216605418914518,12,7.0
15m,ema_crossover_adx_L,"{""fast"": 192, ""slow"": 672, ""adx_period"": 96, ""adx_min"": 15, ""long_short"": false}",0.5477841414496568,0.12612543621591832,-0.3172919493784194,528,0.8292331512614269,0.18827902503427296,-0.4155505321411834,0.4530833447959708,438,0.0021582173405831906,0.5314004087410391,0.6604552105584556,0.15450804734130585,-0.41555053214118953,54,5.3
15m,ema_crossover_adx_LS,"{""fast"": 192, ""slow"": 672, ""adx_period"": 96, ""adx_min"": 15, ""long_short"": true}",0.4489584243315443,0.09643017328618142,-0.523426468826605,858,0.48189556965827046,0.12147175235127072,-0.7638803913433037,0.15901933565497012,701,-0.046961756405664246,0.4289226918811049,0.45865358376404874,0.10825514388592228,-0.763880391343305,54,5.3
15m,rsi2_mr,"{""rsi_period"": 24, ""buy_th"": 20, ""sell_th"": 70, ""trend_span"": 9600}",0.32747774203572716,0.0437681257361604,-0.27092603098415835,40,0.3644817617654725,0.041060859719349585,-0.19145015168155655,0.2144728502887115,32,0.055973644670844536,0.01931861778088284,0.3384586015960865,0.042512524909092075,-0.27092603098415835,24,1.9
15m,tsmom_LS,"{""lookback"": 17280, ""long_short"": true}",0.9352526880787949,0.5438974494056055,-0.7330928785135773,83,0.3742849675361174,0.022042583683656858,-0.8716769115553996,0.025287561700268732,490,-0.1464479760664663,0.33325948416371265,0.7127798867164837,0.2844158606087026,-0.8820032184957647,9,0.2
