,daily_volume_btc,zero_return_minute_share
2012-01-01 00:00:00+00:00,21.602,0.9979152189020153
2012-01-02 00:00:00+00:00,19.048,1.0
2012-01-03 00:00:00+00:00,88.03728092,0.9958333333333333
2012-01-04 00:00:00+00:00,107.23326023000001,0.9965277777777778
2012-01-05 00:00:00+00:00,94.80182926,0.9881944444444445
2012-01-06 00:00:00+00:00,33.88274671,0.9930555555555556
2012-01-07 00:00:00+00:00,0.29585799,0.9993055555555556
2012-01-08 00:00:00+00:00,5.0,0.9986111111111111
2012-01-09 00:00:00+00:00,66.8693229,0.9902777777777778
2012-01-10 00:00:00+00:00,62.28998018,0.9944444444444445
2012-01-11 00:00:00+00:00,105.35893401999999,0.9951388888888889
2012-01-12 00:00:00+00:00,82.30163181,0.9930555555555556
2012-01-13 00:00:00+00:00,48.970144839999996,0.9881944444444445
2012-01-14 00:00:00+00:00,16.836,0.9979166666666667
2012-01-15 00:00:00+00:00,16.6993007,0.9993055555555556
2012-01-16 00:00:00+00:00,12.64929577,0.9986111111111111
2012-01-17 00:00:00+00:00,80.51400824000001,0.9965277777777778
2012-01-18 00:00:00+00:00,133.44676912,0.9951388888888889
2012-01-19 00:00:00+00:00,246.71581895,0.9930555555555556
2012-01-20 00:00:00+00:00,95.82599863,0.9972222222222222
2012-01-21 00:00:00+00:00,81.41385241,0.9979166666666667
2012-01-22 00:00:00+00:00,81.27103303,0.9958333333333333
2012-01-23 00:00:00+00:00,94.92062908999999,0.9951388888888889
2012-01-24 00:00:00+00:00,85.44624147,0.9951388888888889
2012-01-25 00:00:00+00:00,81.1232564,0.9944444444444445
2012-01-26 00:00:00+00:00,29.91907058,0.9958333333333333
2012-01-27 00:00:00+00:00,92.07999287,0.9951388888888889
2012-01-28 00:00:00+00:00,0.25,0.9993055555555556
2012-01-29 00:00:00+00:00,9.45484643,0.9972222222222222
2012-01-30 00:00:00+00:00,15.16,0.9986111111111111
2012-01-31 00:00:00+00:00,110.50333334,0.9923611111111111
2012-02-01 00:00:00+00:00,12.058806279999999,0.9944444444444445
2012-02-02 00:00:00+00:00,251.00093001,0.9840277777777777
2012-02-03 00:00:00+00:00,155.5524532,0.9881944444444445
2012-02-04 00:00:00+00:00,67.63499408999999,0.9923611111111111
2012-02-05 00:00:00+00:00,47.85042396,0.9923611111111111
2012-02-06 00:00:00+00:00,29.17833833,0.9972222222222222
2012-02-07 00:00:00+00:00,165.40541896,0.9923611111111111
2012-02-08 00:00:00+00:00,83.57202011,0.9965277777777778
2012-02-09 00:00:00+00:00,83.60318875,0.9951388888888889
2012-02-10 00:00:00+00:00,176.93050375,0.9979166666666667
2012-02-11 00:00:00+00:00,1.8794878,0.9986111111111111
2012-02-12 00:00:00+00:00,64.8434324,0.9979166666666667
2012-02-13 00:00:00+00:00,99.78443902000001,0.9958333333333333
2012-02-14 00:00:00+00:00,128.34493428,0.9826388888888888
2012-02-15 00:00:00+00:00,67.78916535,0.9923611111111111
2012-02-16 00:00:00+00:00,115.6239213,0.9819444444444444
2012-02-17 00:00:00+00:00,244.67028923,0.9826388888888888
2012-02-18 00:00:00+00:00,254.39025200999998,0.9923611111111111
2012-02-19 00:00:00+00:00,92.68354434,0.9972222222222222
2012-02-20 00:00:00+00:00,315.93925361,0.9909722222222223
2012-02-21 00:00:00+00:00,358.44920149,0.9854166666666667
2012-02-22 00:00:00+00:00,75.30876636,0.9958333333333333
